#  Freq     W_int    Err W      t_sc    Err t_sc     Spk    Fluence 
#  (GHz)    (ms)      (ms)      (ms)     (ms)        (Jy)    (Jy ms)
1.5         0.09      0.03      0.39     0.05        1.15      0.87 
1.5         0.11      0.03      0.39     0.05        1.21      1.50 
1.5         0.016     0.020     0.36     0.08        0.69      0.69 
1.5         0.4       0.6       0.02     2.2         2.53      9.8  
1.5         0.11      0.03      0.24     0.04        1.09      1.08 
1.5         0.10      0.04      0.23     0.06        0.65      0.76 
1.5         0.020     0.020     0.35     0.05        1.43      1.30 
1.5         0.06      0.02      0.33     0.04        2.00     21.1  
1.5         0.097     0.019     0.38     0.03        1.36      1.46 
1.5         0.10      0.03      0.41     0.06        1.85      1.31 
1.5         0.16      0.05      0.07     0.05        0.40      0.52 
2.25        0.012     0.005     0.093    0.011       7.17      0.56 
2.25        0.006     0.014     0.036    0.007       5.99      0.27 
2.25        0.034     0.013     0.08     0.02        2.23      0.29 
8.40        0.00003     -1      0.00033  0.00005    10.71      0.06 
