# flux     w      freq
# Jy       ms      Ghz
#  Gajjar et al. 
0.3805     1.74    6.0  
0.0519     0.39    6.0 
0.0852     0.42    6.0
0.3148     0.68    6.0
0.1268     1.15    6.0
0.1575     0.92    6.0
0.0529     0.31    6.0
0.6999     0.27    6.0
0.1255     0.34    6.0
0.1186     0.39    6.0
0.1052     0.81    6.0
0.0947     0.41    6.0
0.2567     0.19    6.0
0.1399     0.41    6.0
0.4002     0.18    6.0
0.1322     0.72    6.0
0.3314     1.68    6.0
0.1188     0.68    6.0 
#
# Spitler et al. 2016
0.04       3.3     1.4 
0.03       3.8     1.4
0.03       3.3     1.4
0.04       4.6     1.4
0.02       8.7     1.4
0.02       2.8     1.4
0.02       6.1     1.4
0.14       6.6     1.4
0.05       6.0     1.4
0.05       8.0     1.4
0.31       3.0     1.4
#
# Scholz et al. 
0.04       0.2     2.0
0.06       0.4     2.0
0.04       0.2     2.0
0.02       0.08    2.0 
0.09       0.6     2.0 
0.03       0.09    1.4
