#    0          1          2         3            4                 5         6           7         8                9
#"frb_name","telescope","rop_gl","rop_gb","rop_centre_frequency","rmp_dm","rmp_width","rmp_snr","rmp_flux","rmp_redshift_host"
"FRB20200627A","ASKAP","326.75","-39.483","920.5","294&plusmn1","0","11","null","null"
"FRB20200125A","GBT","359.8","58.4","350","179.47&plusmn0.05","3.7","8.1","0.368","null"
"FRB20190614D","VLA","136.3","16.5","1400","959.2&plusmn5","5","8.27","0.124","null"
"FRB200607","UTMOST","325.358","55.5363","835","466.9","1.3","41","null","null"
"FRB200508","UTMOST","282.021","-12.563","835","629","0","14.33","null","null"
"FRB191228","ASKAP","20.6","-64.9","1272.5","297.9&plusmn0.5","0","0","null","null"
"FRB191223","UTMOST","318.854777","-32.6614779","835","665","0","29.4","null","null"
"FRB191108","Apertif","133.3","-30.1","1370","588.1&plusmn0.1","0.34","103","27","null"
"FRB191107","UTMOST","233.396","8.829","835","714.25","0","23.3","null","null"
"FRB191001","ASKAP","341.3","-44.8","920.5","506.92&plusmn0.04","0","62","null","null"
"FRB190907.J08+46","CHIME/FRB","173.4","32.3","600","310.9&plusmn0.4","3","0","0.3","null"
"FRB190714","ASKAP","289.7","49","1272.5","504&plusmn2","0","0","null","null"
"FRB190711","ASKAP","310.9078","-33.9023","1320","593.1&plusmn0.4","6.5","23.8","null","0.522"
"FRB190611","ASKAP","312.9352","-33.2818","1320","321.4&plusmn0.2","2","9.3","null","0.378"
"FRB190608","ASKAP","53.2088","-48.5296","1320","338.7&plusmn0.5","6","16.1","null","0.1178"
"FRB190604.J1435+53","CHIME/FRB","93.8","57.6","600","552.7&plusmn0.2","1.2","0","0.6","null"
"FRB190523","DSA-10","117.03","44","1411","760.8&plusmn0.6","0.42","11.5","null","0.66"
"FRB190417.J1939+59","CHIME/FRB","91.5","17.4","600","1378.1&plusmn0.2","3.3","0","0.5","null"
"FRB190322","UTMOST","278.166","-36.921","835","724.2&plusmn0","1.35","12","0","null"
"FRB190303.J1353+48","CHIME/FRB","97.5","65.7","600","222.4&plusmn0.2","4.5","0","0.5","null"
"FRB190222.J2052+69","CHIME/FRB","104.9","15.9","600","460.6&plusmn0.1","2.97","0","null","null"
"FRB190212.J18+81","CHIME/FRB","113.3","27.8","600","301.7&plusmn0.3","4.1","0","0.4","null"
"FRB190212.J02+20","CHIME/FRB","148.1","-38.7","600","651.1&plusmn0.4","10","0","null","null"
"FRB190209.J0937+77","CHIME/FRB","134.2","34.8","600","424.6&plusmn0.6","3.7","0","null","null"
"FRB190208.J1855+46","CHIME/FRB","76.8","18.9","600","579.9&plusmn0.2","0.91","0","0.4","null"
"FRB190117.J2207+17","CHIME/FRB","76.4","-30.3","600","393.3&plusmn0.1","1.44","0","1.7","null"
"FRB190116.J1249+27","CHIME/FRB","210.5","89.5","600","444&plusmn0.6","4","0","null","null"
"FRB190102","ASKAP","312.6","-33.49","1320","363.6&plusmn0.3","1.7","14","null","0.291"
"FRB181228","UTMOST","253.3915","-26.0633","835","354.2&plusmn0.9","1.24","12","19.23","null"
"FRB181128.J0456+63","CHIME/FRB","146.6","12.4","600","450.2&plusmn0.3","2.43","0","null","null"
"FRB181123","FAST","184.06","-13.47","1250","1812&plusmn2","1.05","0","0.065","null"
"FRB181119.J12+65","CHIME/FRB","124.5","52","600","364.2&plusmn1","6.3","0","null","null"
"FRB181112","ASKAP","342.6","-47.7","1272.5","589.27&plusmn0.03","2.1","19.3","null","0.4755"
"FRB181030.J1054+73","CHIME/FRB","133.4","40.9","600","103.5&plusmn0.7","0.59","0","null","null"
"FRB181017.J1705+68","CHIME/FRB","99.2","34.8","600","1281.9&plusmn0.4","13.4","0","null","null"
"FRB181017","UTMOST","50.5","-47","835","239.97&plusmn0.03","0.32","66","161","null"
"FRB181016","UTMOST","345.51","22.67","835","1982.8&plusmn2.8","8.6","17","10.19","null"
"FRB180924","ASKAP","0.742467","-49.414787","1320","361.42&plusmn0.06","1.3","194","12.3","0.3214"
"FRB180923","parkes","346.6","36.6","1352","548&plusmn3","20","13","null","null"
"FRB180916.J0158+65","CHIME/FRB","129.7","3.7","600","348.8&plusmn0.2","0.87","0","null","0.0337"
"FRB180908.J1232+74","CHIME/FRB","124.7","42.9","600","195.7&plusmn0.9","1.91","0","0.6","null"
"FRB180817.J1533+42","CHIME/FRB","68","54","600","1006.84&plusmn0.002","0.37","69.9","null","null"
"FRB180814.J1554+74","CHIME/FRB","108","37","600","238.32&plusmn0.01","0.18","29.7","null","null"
"FRB180814.J0422+73","CHIME/FRB","136","16","600","189.38&plusmn0.09","2.6","24","null","null"
"FRB180812.J0112+80","CHIME/FRB","123","18","600","802.57&plusmn0.04","1.25","19.8","null","null"
"FRB180810.J1159+83","CHIME/FRB","125","34","600","169.134&plusmn0.002","0.28","56.7","null","null"
"FRB180810.J0646+34","CHIME/FRB","180","14","600","414.95&plusmn0.02","0.27","17.7","null","null"
"FRB180806.J1515+75","CHIME/FRB","112","38","600","739.98&plusmn0.03","0.69","17.5","null","null"
"FRB180801.J2130+72","CHIME/FRB","109","15","600","656.2&plusmn0.03","0.51","41.1","null","null"
"FRB180730.J0353+87","CHIME/FRB","125","25","600","849.047&plusmn0.002","0.42","92.4","null","null"
"FRB180729.J1316+55","CHIME/FRB","115","61","600","109.61&plusmn0.002","0.12","243.1","null","null"
"FRB180729.J0558+56","CHIME/FRB","156","15","600","317.37&plusmn0.01","0.08","25.2","null","null"
"FRB180727.J1311+26","CHIME/FRB","25","85","600","642.07&plusmn0.03","0.78","14.2","null","null"
"FRB180725.J0613+67","CHIME/FRB","147","21","600","715.98&plusmn0.02","0.31","34.5","null","null"
"FRB180714","parkes","14.8","8.72","1352","1467.92&plusmn0.3","2.9","22","0.6","null"
"FRB180528","UTMOST","258.8","-22.35","835","899.3&plusmn0.6","2","11","15.75","null"
"FRB180525","ASKAP","349","50.7","1297","388.1&plusmn0.3","3.8","27.4","78.9","null"
"FRB180515","ASKAP","349.5","-64.9","1320","355.2&plusmn0.5","1.9","12.1","24.2","null"
